level,category,ex_top,kanji,ex_bottom,yomi
pre_two,yomi,戸籍,抄本,を交付する。,しょうほん
pre_two,yomi,,睡魔,に襲われる。,すいま
pre_two,yomi,,褒美,を与える。,ほうび
pre_two,yomi,,盆栽,の手入れをする。,ぼんさい
pre_two,yomi,登記を,抹消,する。,まっしょう
pre_two,yomi,,愉悦,を覚える。,ゆえつ
pre_two,yomi,,迅速,な対応が求められる。,じんそく
pre_two,yomi,,詐欺,に注意する。,さぎ
pre_two,yomi,必要性を,示唆,する。,しさ
pre_two,yomi,,報酬,を与える。,ほうしゅう
pre_two,yomi,,禍根,を絶つ。,かこん
pre_two,yomi,彼は,頑丈,な体格をしている。,がんじょう
pre_two,yomi,カの,媒介,で伝染する。,ばいかい
pre_two,yomi,財政が,窮迫,している。,きゅうはく
pre_two,yomi,,寡少,な人数で戦う。,かしょう
pre_two,yomi,新聞二紙を,併読,している。,へいどく
pre_two,yomi,,安逸,をむさぼる。,あんいつ
pre_two,yomi,同じことをさせても,巧拙,がある。,こうせつ
pre_two,yomi,父が,還暦,を迎えた。,かんれき
pre_two,yomi,,献身,的な支援に感謝します。,けんしん
pre_two,yomi,家宅,捜索,を行う。,そうさく
pre_two,yomi,大男が,相撲,をとる。,すもう
pre_two,yomi,大会に,旋風,を巻き起こす。,せんぷう
pre_two,yomi,この製品は,弊社,のものです。,へいしゃ
pre_two,yomi,敵を,駆逐,する。,くちく
pre_two,yomi,この競技の,覇者,は彼だ。,はしゃ
pre_two,yomi,記号を,羅列,する。,られつ
pre_two,yomi,,空疎,な議論を繰り返す。,くうそ
pre_two,yomi,二人の性格は,酷似,している。,こくじ
pre_two,yomi,旅行に行くことを,自粛,した。,じしゅく
pre_two,yomi,あまり,干渉,しないでいただきたい。,かんしょう
pre_two,yomi,ご,壮健,でなによりです。,そうけん
pre_two,yomi,馬の,手綱,を引く。,たづな
pre_two,yomi,この部分の説明は,割愛,します。,かつあい
pre_two,yomi,彼の,自叙伝,が発売された。,じじょでん
pre_two,yomi,その言葉に非常に,感銘,を受けた。,かんめい
pre_two,yomi,服が,挟まって,しまった。,はさまって
pre_two,yomi,道端に,人垣,ができる。,ひとがき
pre_two,yomi,,鳥肌,が立つ。,とりはだ
pre_two,yomi,,徹底,して行う。,てってい
pre_two,yomi,嫁の,機嫌,を取るのは難しい。,きげん
pre_two,yomi,,荒涼,たる大地に立つ。,こうりょう
pre_two,yomi,彼にとっては,苦渋,の選択だった。,くじゅう
pre_two,yomi,,克己心,を強く持つことが大事だ。,こっきしん
pre_two,yomi,あきらめずに,挑戦,し続ける。,ちょうせん
pre_two,yomi,そんなことを聞くのは,野暮,だ。,やぼ
pre_two,yomi,父は,剛直,な人物だ。,ごうちょく
pre_two,yomi,,貝塚,を発掘する。,かいづか
pre_two,yomi,彼は,閑職,に退いた。,かんしょく
pre_two,yomi,,最寄,りの駅で待ち合わせする。,もよ
pre_two,yomi,そろそろ,戻り,ましょう。,もどり
pre_two,yomi,氷を,砕いて,ジュースに入れる。,くだいて
pre_two,yomi,上司は胆の,据わって,いる。,すわって
pre_two,yomi,彼の,唇,が震えた。,くちびる
pre_two,yomi,実験で魚の,解剖,を行った。,かいぼう
pre_two,yomi,王に忠誠を,誓う,。,ちかう
pre_two,yomi,大臣を,更迭,する。,こうてつ
pre_two,yomi,山頂からの,眺望,は素晴らしい。,ちょうぼう
pre_two,yomi,ビジネスを,拡充,する。,かくじゅう
pre_two,yomi,これらは自然,治癒,力を引き出すものです。,ちゆ
pre_two,yomi,犯人の要求を,拒む,。,こばむ
pre_two,yomi,部屋の,扉,が開かない。,とびら
pre_two,yomi,借用金を,償却,する。,しょうきゃく
pre_two,yomi,休日は,惰眠,をむさぼる。,だみん
pre_two,yomi,銀行からの,融資,を受ける。,ゆうし
pre_two,yomi,絵本の,挿し,絵を描く。,さし
pre_two,yomi,,真偽,のほどが定かではない。,しんぎ
pre_two,yomi,,遺憾,の意を表明する。,いかん
pre_two,yomi,諸問題を,包括,して取り扱う。,ほうかつ
pre_two,yomi,,中庸,を得ることが大事だ。,ちゅうよう
pre_two,yomi,その土地を離れるのは,名残,惜しい。,なごり
pre_two,yomi,兆候が,顕著,に現れる。,けんちょ
pre_two,yomi,村が,竜巻,に巻き込まれた。,たつまき
pre_two,yomi,,均衡,が保たれている。,きんこう
pre_two,yomi,,憂愁,にしずんで海をながめる。,ゆうしゅう
pre_two,yomi,購読している雑誌が,廃刊,になった。,はいかん
pre_two,yomi,パネルを,洗浄,する。,せんじょう
pre_two,yomi,政治家が,収賄,の罪に問われた。,しゅうわい
pre_two,yomi,一気に敗色,濃厚,となった。,のうこう
pre_two,yomi,,岬,をまわって航海する。,みさき
pre_two,yomi,,雑菌,が多く含まれている。,ざっきん
pre_two,yomi,事態を,把握,しきれていない。,はあく
pre_two,yomi,最後に味を,調える,。,ととのえる
pre_two,yomi,事故のため交通を,遮断,する。,しゃだん
pre_two,yomi,,悠久,の時が流れた。,ゆうきゅう
pre_two,yomi,,乙女,心はわからない。,おとめ
pre_two,yomi,,国賓,として招待される。,こくひん
pre_two,yomi,不祥事を起こして,懲戒,免職となる。,ちょうかい
pre_two,yomi,,艦艇,を保有する。,かんてい
pre_two,yomi,幸いにも,軽症,で済んだ。,けいしょう
pre_two,yomi,観光船が,波止場,に着いた。,はとば
pre_two,yomi,ボートが,岩礁,にぶつかった。,がんしょう
pre_two,yomi,敵の館に,忍び,込む。,しのび
pre_two,yomi,多くの子供達が,飢えて,いる。,うえて
pre_two,yomi,毎朝,釣り,に出かける。,つり
pre_two,yomi,,窯,で陶器を焼く。,かま
pre_two,yomi,火災で貴重な資料を,焼失,した。,しょうしつ
pre_two,yomi,両者の意見を,折衷,する。,せっちゅう
pre_two,yomi,,杉並木,の続く道を歩く。,すぎなみき
pre_two,yomi,必要な科目を,履修,する。,りしゅう
pre_two,yomi,この作品は見るに,堪えない,。,たえない
pre_two,yomi,,紳士,らしい対応をする。,しんし
pre_two,yomi,,体臭,がきつい。,たいしゅう
pre_two,yomi,兄が,喪主,を務める。,もしゅ
pre_two,yomi,,係累,が多いのでにぎやかだ。,けいるい
pre_two,yomi,,肯定,意見の方が多い。,こうてい
pre_two,yomi,天皇陛下から勲章を,賜る,。,たまわる
pre_two,yomi,,推薦,入試で合格する。,すいせん
pre_two,yomi,,傘,を忘れてしまった。,かさ
pre_two,yomi,この,反物,は染めがよい。,たんもの
pre_two,yomi,この地域に古くから伝わる,童話,がある。,どうわ
pre_two,yomi,震災により被害を,被る,。,こうむる
pre_two,yomi,申請書の,頒価,は百円です。,はんか
pre_two,yomi,,広漠,とした草原を歩く。,こうばく
pre_two,yomi,新居の,棟上げ,が楽しみだ。,むねあげ
pre_two,yomi,情状,酌量,すべき事情がある。,しゃくりょう
pre_two,yomi,これが書類の,謄本,です。,とうほん
pre_two,yomi,彼が後を継げば,安泰,だ。,あんたい
pre_two,yomi,,靴擦れ,が痛い。,くつずれ
pre_two,yomi,,漆塗り,の重箱に詰める。,うるしぬり
pre_two,yomi,ナスがほどよく,漬かる,。,つかる
pre_two,yomi,この街では,紡績,が盛んだ。,ぼうせき
pre_two,yomi,病院で,診察,を受ける。,しんさつ
pre_two,yomi,水の,沸点,はセ氏約100度だ。,ふってん
pre_two,yomi,,川柳,を読むのが趣味だ。,せんりゅう
pre_two,yomi,雑誌を毎月,購読,している。,こうどく
pre_two,yomi,敷地に対して,建坪,が広い。,たてつぼ
pre_two,yomi,高齢者の人口が,漸次,増加している。,ぜんじ
pre_two,yomi,事業に成功して大金を,稼ぐ,。,かせぐ
pre_two,yomi,必要,且つ,十分な条件だ。,かつ
pre_two,yomi,かなりの時間を,費やした,。,ついやした
pre_two,yomi,遺族に対して,弔い,の言葉を述べる。,とむらい
pre_two,yomi,,大和,魂を見せつけろ。,やまと
pre_two,yomi,危ない時は,助太刀,に行く。,すけだち
pre_two,yomi,行動パターンを,解析,する。,かいせき
pre_two,yomi,,爵位,を授けられる。,しゃくい
pre_two,yomi,組織の,枢要,な地位に就く。,すうよう
pre_two,yomi,この地域は,租借,地だ。,そしゃく
pre_two,yomi,原稿用紙の,升目,を埋める。,ますめ
pre_two,yomi,国歌を,斉唱,する。,せいしょう
pre_two,yomi,,銃口,を向けられて動けない。,じゅうこう
pre_two,yomi,素直で,質朴,な性格だ。,しつぼく
pre_two,yomi,情報が,筒抜け,になっていた。,つつぬけ
pre_two,yomi,ひどい扱いに,憤慨,する。,ふんがい
pre_two,yomi,,足袋,をはきかえる。,たび
pre_two,yomi,お,遍路,さんの一行は四国へと向かった。,へんろ
pre_two,yomi,,縄文,時代の遺跡を発掘する。,じょうもん
pre_two,yomi,他民族を,侮辱,する。,ぶじょく
pre_two,yomi,非常に面倒で,煩わしい,。,わずらわしい
pre_two,yomi,機は,熟した,。,じゅくした
pre_two,yomi,この,系譜,についての詳細は不明だ。,けいふ
pre_two,yomi,,洪水,の被害を受けた。,こうずい
pre_two,yomi,あくまで,推奨,される値です。,すいしょう
pre_two,yomi,,木琴,を演奏する。,もっきん
pre_two,yomi,,江戸,時代の出来事だ。,えど
pre_two,yomi,盲目的に,崇拝,する。,すうはい
pre_two,yomi,その決断は時期,尚早,です。,しょうそう
pre_two,yomi,彼らはそれを,渇望,する。,かつぼう
pre_two,yomi,,触媒,に白金を用いる。,しょくばい
pre_two,yomi,父の,書斎,には入ってはいけない。,しょさい
pre_two,yomi,彼は,王侯,の性質がある。,おうこう
pre_two,yomi,,謹んで,申し上げます。,つつしんで
pre_two,yomi,視力,矯正,をする。,きょうせい
pre_two,yomi,一生,懸命,頑張った結果がでた。,けんめい
pre_two,yomi,供給が,過剰,となる。,かじょう
pre_two,yomi,,滋養,のある食べ物だ。,じよう
pre_two,yomi,,婚姻,届を提出に行く。,こんいん
pre_two,yomi,妻が,妊娠,した。,にんしん
pre_two,yomi,,歯茎,から血がでる。,はぐき
pre_two,yomi,チームの勝利に,貢献,する。,こうけん
pre_two,yomi,,模擬,試験を受ける。,もぎ
pre_two,yomi,,囲碁,は得意です。,いご
pre_two,yomi,多くの,殉職,者を出してしまった。,じゅんしょく
pre_two,yomi,,干潟,が一気に縮小する。,ひがた
pre_two,yomi,欠点が,露呈,してしまった。,ろてい
pre_two,yomi,,選択肢,がなかった。,せんたくし
pre_two,yomi,,襟元,にゴミがついてますよ。,えりもと
pre_two,yomi,,蚊,に首を刺された。,か
pre_two,yomi,,戦禍,に巻き込まれる。,せんか
pre_two,yomi,彼は,豪傑,として有名だった。,ごうけつ
pre_two,yomi,,儒教,を研究する。,じゅきょう
pre_two,yomi,功労者を,表彰,する。,ひょうしょう
pre_two,yomi,,昆虫,は苦手です。,こんちゅう
pre_two,yomi,,謙虚,な姿勢が気に入られた。,けんきょ
pre_two,yomi,,酢酸,が含まれている。,さくさん
pre_two,yomi,人をバカにするのも,甚だしい,。,はなはだしい
pre_two,yomi,,管弦,楽団に入りたい。,かんげん
pre_two,yomi,学生時代が,懐かしい,。,なつかしい
pre_two,yomi,,戸棚,を空にする。,とだな
pre_two,yomi,,詔書,の偽造は重罪だ。,しょうしょ
pre_two,yomi,野生動物が,威嚇,してきた。,いかく
pre_two,yomi,社会の不正を,糾弾,する。,きゅうだん
pre_two,yomi,,吟醸,酒を飲む。,ぎんじょう
pre_two,yomi,,患者,の容体が急変する。,かんじゃ
pre_two,yomi,砂浜で,貝殻,を拾う。,かいがら
pre_two,yomi,部屋の,隅々,まで掃除した。,すみずみ
pre_two,yomi,会社を相手取って,訴訟,を起こした。,そしょう
pre_two,yomi,失敗の,虞,がある。,おそれ
pre_two,yomi,,閑古鳥,が鳴いている。,かんこどり
pre_two,yomi,,桟橋,を渡る。,さんばし
pre_two,yomi,彼の,急逝,は痛恨の極みであった。,きゅうせい
pre_two,yomi,大量の,欠陥,品を引き取る。,けっかん
pre_two,yomi,,寛大,な処置をとる。,かんだい
pre_two,yomi,,肖像画,を描く。,しょうぞうが
pre_two,yomi,,刃物,を研ぐ。,はもの
pre_two,yomi,子供を,塾,に通わせる。,じゅく
pre_two,yomi,彼の方が,若干,有利ではある。,じゃっかん
pre_two,yomi,二つを,併用,する。,へいよう
pre_two,yomi,肌が,褐色,に焼けた。,かっしょく
pre_two,yomi,,宵の口,から眠たがる。,よいのくち
pre_two,yomi,,慶賀,に堪えません。,けいが
pre_two,yomi,,納棺,に立ち会う。,のうかん
pre_two,yomi,秋風が,浦,に吹く。,うら
pre_two,yomi,彼は,宰相,たるべき器量を持っている。,さいしょう
pre_two,yomi,彼には,恐喝,の容疑もかかっている。,きょうかつ
pre_two,yomi,文化の,発祥,の地だ。,はっしょう
pre_two,yomi,雪の残る,山肌,。,やまはだ
pre_two,yomi,魚を,薫製,にする。,くんせい
pre_two,yomi,,勲章,を授ける。,くんしょう
pre_two,yomi,,畝,のある生地だ。,うね
pre_two,yomi,血液を,循環,させる。,じゅんかん
pre_two,yomi,高価な,真珠,のネックレスだ。,しんじゅ
pre_two,yomi,表面の,凹凸,が少ない。,おうとつ
pre_two,yomi,彼は,天涯,孤独の身だったようだ。,てんがい
pre_two,yomi,,継嗣,争いで社会情勢が不安定であった。,けいし
pre_two,yomi,できる限りの,便宜,を図る。,べんぎ
pre_two,yomi,将軍から,謁見,が許された。,えっけん
pre_two,yomi,,硝煙,反応が残っていた。,しょうえん
pre_two,yomi,かつては,拷問,に使用されていた。,ごうもん
pre_two,yomi,条約の,約款,に違反する。,やっかん
pre_two,yomi,女性は,化粧,で顔が変わる。,けしょう
pre_two,yomi,水の流れる,渓谷,。,けいこく
pre_two,yomi,隣の高校とは,犬猿,の仲だ。,けんえん
pre_two,yomi,,苦汁,を飲まされる。,くじゅう
pre_two,yomi,,平衡,感覚が優れている。,へいこう
pre_two,yomi,彼は戦時中に,大尉,まで上り詰めた。,たいい
pre_two,yomi,,緒戦,においては優勢であった。,しょせん
pre_two,yomi,,疫病,が流行する。,えきびょう
pre_two,yomi,,囚人,が脱走する。,しゅうじん
pre_two,yomi,,缶詰,が開けられない。,かんづめ
pre_two,yomi,なんともひねくれた,老翁,だ。,ろうおう
pre_two,yomi,,恭順,な態度をとる。,きょうじゅん
pre_two,yomi,,誘拐,犯が逮捕された。,ゆうかい
pre_two,yomi,実家は,呉服,屋です。,ごふく
pre_two,yomi,,玉璽,だけは奪われてはいけません。,ぎょくじ
pre_two,yomi,,蛍光灯,を交換する。,けいこうとう
pre_two,yomi,地質の悪い,土壌,だ。,どじょう
pre_two,yomi,,庶民,の生活が染みついている。,しょみん
pre_two,yomi,彼の物語はとても,愉快,だ。,ゆかい
pre_two,yomi,,淑女,としての振る舞い。,しゅくじょ
pre_two,yomi,判事を,弾劾,する。,だんがい
pre_two,yomi,この街の,秩序,を守る。,ちつじょ
pre_two,yomi,,悠長,なことを言っている時ではない。,ゆうちょう
pre_two,yomi,,浴槽,にお湯を入れる。,よくそう
pre_two,yomi,,仙人,の住む山がある。,せんにん
pre_two,yomi,あの事件以来、社内の,雰囲気,が悪い。,ふんいき
pre_two,yomi,,唯一,彼が勝てなかった相手だ。,ゆいいつ
pre_two,yomi,気合いを入れて,鉢巻,を巻く。,はちまき
pre_two,yomi,,妥協,点を見つける。,だきょう
pre_two,yomi,,主賓,のスピーチを聞く。,しゅひん
pre_two,yomi,その言い方では,語弊,がある。,ごへい
pre_two,yomi,,尼寺,に入る。,あまでら
pre_two,yomi,,硫酸,の取扱いに注意しなければいけない。,りゅうさん
pre_two,yomi,,懇談,会を開く。,こんだん
pre_two,yomi,庭で果物を,栽培,する。,さいばい
pre_two,yomi,,勅命,の内容を伝える。,ちょくめい
pre_two,yomi,小学校の,教諭,を目指す。,きょうゆ
pre_two,yomi,彼はとても,繊細,な人だ。,せんさい
pre_two,yomi,,嫌気,が差してきた。,いやけ
pre_two,yomi,,静粛,にしてください。,せいしゅく
pre_two,yomi,町が,津波,に襲われる。,つなみ
pre_two,yomi,,繭,から蚕が出てくる。,まゆ
pre_two,yomi,状況が悪いので一時,撤退,する。,てったい
pre_two,yomi,,献血,に行ってきた。,けんけつ
pre_two,yomi,,画伯,に似顔絵を描いてもらう。,がはく
pre_two,yomi,将軍家の,嫡子,として生まれる。,ちゃくし
pre_two,yomi,運動する前は,柔軟,をかかさないように。,じゅうなん
pre_two,yomi,隣町は,管轄,外だ。,かんかつ
pre_two,yomi,,板塀,として機能している。,いたべい
pre_two,yomi,,駄弁,をろうする。,だべん
pre_two,yomi,隠し芸を,披露,する。,ひろう
pre_two,yomi,,船舶,免許を取得した。,せんぱく
pre_two,yomi,河川には,自浄,作用がある。,じじょう
pre_two,yomi,迷子を見つけようと町を,捜索,した。,そうさく
pre_two,yomi,,海藻,がよくとれる季節だ。,かいそう
pre_two,yomi,仕事の,愚痴,をこぼす。,ぐち
pre_two,yomi,裁判に,出廷,してください。,しゅってい
pre_two,yomi,,虚偽,の申し立てをする。,きょぎ
pre_two,yomi,とても,貞淑,な女性だ。,ていしゅく
pre_two,yomi,,豪邸,に住んでいる。,ごうてい
pre_two,yomi,,抗菌,加工を施している。,こうきん
pre_two,yomi,,追悼,式を行う。,ついとう
pre_two,yomi,,盗塁,に成功する。,とうるい
pre_two,yomi,栄養の,偏った,食生活だ。,かたよった
pre_two,yomi,それはあなたの被害,妄想,だ。,もうそう
pre_two,yomi,自覚,症状,がある。,しょうじょう
pre_two,yomi,新しい,紙幣,が発行された。,しへい
pre_two,yomi,地震が,頻発,している。,ひんぱつ
pre_two,yomi,,同僚,より出世が早い。,どうりょう
pre_two,yomi,,一泡,吹かせてやりたい。,ひとあわ
pre_two,yomi,,麻,で作った縄を用いる。,あさ
pre_two,yomi,金属を,磨く,。,みがく
pre_two,yomi,,摩擦,でタイヤがすり減る。,まさつ
pre_two,yomi,彼女は,亭主,を頼りにしている。,ていしゅ
pre_two,yomi,柔らかい粘土で小さな,塑像,を作った。,そぞう
pre_two,yomi,解決策を,模索,している。,もさく
pre_two,yomi,,猫舌,なので冷めるまで待ちます。,ねこじた
pre_two,yomi,問題点が,顕在,化する。,けんざい
pre_two,yomi,野球選手の,年俸,は高い。,ねんぽう
pre_two,yomi,,捕虜,を解放する。,ほりょ
pre_two,yomi,,首肯,しかねる提案だ。,しゅこう
pre_two,yomi,,外堀,から埋める。,そとぼり
pre_two,yomi,子供は,褒めて,育てるほうがよい。,ほめて
pre_two,yomi,,予鈴,が鳴ったから戻ろう。,よれい
pre_two,yomi,,罷業,者たちは賃金値上げを要求していた。,ひぎょう
pre_two,yomi,,花瓶,に花を挿す。,かびん
pre_two,yomi,,自堕落,な生活を送る。,じだらく
pre_two,yomi,物質が,融合,する。,ゆうごう
pre_two,yomi,,裕福,な家庭に生まれた。,ゆうふく
pre_two,yomi,,但し,書きを加える。,ただし
pre_two,yomi,,盲導犬,としての訓練を受ける。,もうどうけん
pre_two,yomi,あなたに,猶予,を与えます。,ゆうよ
pre_two,yomi,相手の,挑発,に乗ってしまった。,ちょうはつ
pre_two,yomi,,酪農家,として第二の人生を始める。,らくのうか
pre_two,yomi,人里離れた,山荘,に泊まる。,さんそう
pre_two,yomi,時代の,変遷,と共に人の生活も変わる。,へんせん
pre_two,yomi,,洞くつ,を探検する。,どうくつ
pre_two,yomi,,誓約書,にサインをした。,せいやくしょ
pre_two,yomi,,探偵,を雇って調査する。,たんてい
pre_two,yomi,争いが,泥沼,化してきた。,どろぬま
pre_two,yomi,,一升瓶,を空にする。,いっしょうびん
pre_two,yomi,自由,奔放,な生活。,ほんぽう
pre_two,yomi,常識から,逸脱,している。,いつだつ
pre_two,yomi,修理は,有償,となります。,ゆうしょう
pre_two,yomi,,洗濯機,を購入する。,せんたくき
pre_two,yomi,,公僕,もまた人間である。,こうぼく
pre_two,yomi,,駐屯地,に到着する。,ちゅうとんち
pre_two,yomi,,大雑把,な性格だ。,おおざっぱ
pre_two,yomi,,倫理,的な問題が残る。,りんり
pre_two,yomi,,王妃,として成熟し始める。,おうひ
pre_two,yomi,津波は地震に,付随,して発生する。,ふずい
pre_two,yomi,,消火栓,の近くに車を停めてはいけません。,しょうかせん
pre_two,yomi,もう,後戻り,できない。,あともどり
pre_two,yomi,毎年収穫量が,逓減,する。,ていげん
pre_two,yomi,彼には,扶養,家族が二人いる。,ふよう
pre_two,yomi,,楽譜,が読めない。,がくふ
pre_two,yomi,最後に,重曹,を加える。,じゅうそう
pre_two,yomi,,霜害,により多大な被害が出る。,そうがい
pre_two,yomi,かつて,朕,という一人称が使われていた。,ちん
pre_two,yomi,,賠償,を要求する。,ばいしょう
pre_two,yomi,彼には,懲役,刑が言い渡された。,ちょうえき
pre_two,yomi,風邪気味なので医者に,診て,もらおう。,みて
pre_two,yomi,生活が,困窮,する。,こんきゅう
pre_two,yomi,この船の,艦長,となる。,かんちょう
pre_two,yomi,,納涼,に出かける。,のうりょう
pre_two,yomi,進度については,逐次,お知らせします。,ちくじ
pre_two,yomi,,苦衷,を察する。,くちゅう
pre_two,yomi,,漆黒,の髪がきれいだ。,しっこく
pre_two,yomi,功績をたたえられ,男爵,となった。,だんしゃく
pre_two,yomi,綿と毛を,混紡,した布を用いる。,こんぼう
pre_two,yomi,,飢餓,に苦しむ。,きが
pre_two,yomi,敵の戦力を,分析,する。,ぶんせき
pre_two,yomi,今日は,叔母,の家に泊まる。,おば
pre_two,yomi,ごみ捨て場が,臭い,。,くさい
pre_two,yomi,暑いから,水筒,を持っていきなさい。,すいとう
pre_two,yomi,向こうの岸を,眺め,る。,ながめ
pre_two,yomi,彼は,凡庸,な人物だ。,ぼんよう
pre_two,yomi,,漬物,を食べる。,つけもの
pre_two,yomi,,挿入,歌を歌っているのは有名なアーティストだ。,そうにゅう
pre_two,yomi,,慶弔,等の行事に用いられる。,けいちょう
pre_two,yomi,リーダーが皆の意見を,概括,する。,がいかつ
pre_two,yomi,毒ガスが,充満,している。,じゅうまん
pre_two,yomi,閲覧,履歴,に残っている。,りれき
pre_two,yomi,彼の歌には,哀愁,が漂っている。,あいしゅう
pre_two,yomi,非常に,壮快,な気分だ。,そうかい
pre_two,yomi,その歌手は,亜流,に過ぎない。,ありゅう
pre_two,yomi,運よく,打撲,で済んだ。,だぼく
pre_two,yomi,,泰平,の世が訪れる。,たいへい
pre_two,yomi,体力を,消耗,した。,しょうもう
pre_two,yomi,,残忍,な手口が特徴だ。,ざんにん
pre_two,yomi,毎晩の,晩酌,をかかさない。,ばんしゃく
pre_two,yomi,発言を,遮って,会議を進める。,さえぎって
pre_two,yomi,,過酷,な試練に耐えきった。,かこく
pre_two,yomi,ついつい,購入,してしまった。,こうにゅう
pre_two,yomi,,茶渋,がなかなかとれない。,ちゃしぶ
pre_two,yomi,,競艇,場はにぎやかだ。,きょうてい
pre_two,yomi,全国には多くの,窯元,が残っている。,かまもと
pre_two,yomi,目標に向かって,漸進,する。,ぜんしん
pre_two,yomi,これが,累積,で三枚目となる。,るいせき
pre_two,yomi,,狭義,の意味では含まれない。,きょうぎ
pre_two,yomi,,俊敏,な動きに惑わされる。,しゅんびん
pre_two,yomi,他社を,傘下,に収める。,さんか
pre_two,yomi,,疎遠,になった友人と連絡を取る。,そえん
pre_two,yomi,その申し出を,拒否,する。,きょひ
pre_two,yomi,山が,凸凹,している。,でこぼこ
pre_two,yomi,良い,薫り,がする。,かおり
pre_two,yomi,,鼻緒,が切れてしまった。,はなお
pre_two,yomi,,徹夜,で作業する。,てつや
pre_two,yomi,会社の,中枢,を担う。,ちゅうすう
pre_two,yomi,希望者には無料で,頒布,している。,はんぷ
pre_two,yomi,彼を責任者に,薦める,。,すすめる
pre_two,yomi,,煩忙,な時期が始まる。,はんぼう
pre_two,yomi,優勝旗を,奪還,しなければいけない。,だっかん
pre_two,yomi,腸が,癒着,している。,ゆちゃく
pre_two,yomi,地元の歴史を,懐古,する。,かいこ
pre_two,yomi,夜になると,蛍,がたくさん飛んでいる。,ほたる
pre_two,yomi,物議を,醸す,。,かもす
pre_two,yomi,地元の代表的な,銘菓,だ。,めいか
pre_two,yomi,,詩吟,を習っている。,しぎん
pre_two,yomi,,自刃,して果てる。,じじん
pre_two,yomi,,租税,を徴収する。,そぜい
pre_two,yomi,きわめて,剛健,である。,ごうけん
pre_two,yomi,決勝戦に,連覇,の期待が掛かっている。,れんぱ
pre_two,yomi,初めて,砂漠,を旅行する。,さばく
pre_two,yomi,会社の金を,拐帯,した。,かいたい
pre_two,yomi,この大会には賞金を,懸けて,いる。,かけて
pre_two,yomi,,激甚,な被害状況だ。,げきじん
pre_two,yomi,健康のためにお,酢,を飲む。,す
pre_two,yomi,この賞は作家の,登竜門,として知られている。,とうりゅうもん
pre_two,yomi,資格を,喪失,する。,そうしつ
pre_two,yomi,,泥縄,の試験勉強になってしまった。,どろなわ
pre_two,yomi,,素朴,な生活を送る。,そぼく
pre_two,yomi,岩石を,粉砕,する。,ふんさい
pre_two,yomi,彼の身勝手な行動に,憤激,する。,ふんげき
pre_two,yomi,目を,患って,通院する。,わずらって
pre_two,yomi,弓に,弦,を掛ける。,つる
pre_two,yomi,,妊婦,さんに席を譲る。,にんぷ
pre_two,yomi,その言葉は私の,琴線,に触れた。,きんせん
pre_two,yomi,彼女は違う,病棟,に入院している。,びょうとう
pre_two,yomi,全国に,遍在,する民謡。,へんざい
pre_two,yomi,,稼業,に精を出す。,かぎょう
pre_two,yomi,,合併,して今の町ができた。,がっぺい
pre_two,yomi,彫像をどこに,据える,か話し合う。,すえる
pre_two,yomi,帳簿を,謄写,する。,とうしゃ
pre_two,yomi,事故で重態に,陥る,。,おちいる
pre_two,yomi,地主に,貢ぎ,物をする。,みつぎ
pre_two,yomi,,愛猫,が逃げ出した。,あいびょう
pre_two,yomi,最近は不真面目で,惰弱,な学生が多い。,だじゃく
pre_two,yomi,,猟銃,を扱うには資格が必要だ。,りょうじゅう
pre_two,yomi,彼女は若くして,逝って,しまった。,いって
pre_two,yomi,敵を,侮る,な。,あなどる
pre_two,yomi,,頑健,な身体を持つ。,がんけん
pre_two,yomi,容姿は美しいが、内面は,醜い,人だ。,みにくい
pre_two,yomi,,寡黙,な彼にしてはよく話している。,かもく
pre_two,yomi,,恭しい,態度をとる。,うやうやしい
pre_two,yomi,お,汁粉,を食べる。,しるこ
pre_two,yomi,小型機で空を,旋回,する。,せんかい
pre_two,yomi,相手との,交渉,を進める。,こうしょう
pre_two,yomi,,一斉,に飛び出した。,いっせい
pre_two,yomi,,沸騰,したお湯を注ぐ。,ふっとう
pre_two,yomi,,塚,を築く。,つか
pre_two,yomi,,秀逸,な一品である。,しゅういつ
pre_two,yomi,交渉は,暗礁,に乗り上げる。,あんしょう
pre_two,yomi,病気に対しての,免疫,がない。,めんえき
pre_two,yomi,,蚊柱,が立つ。,かばしら
pre_two,yomi,,甲殻類,に属する。,こうかくるい
pre_two,yomi,頭の,片隅,に入れておいてください。,かたすみ
pre_two,yomi,,謙譲語,は難しい。,けんじょうご
pre_two,yomi,朝方に,霜,が降りた。,しも
pre_two,yomi,地盤が,軟らかい,。,やわらかい
pre_two,yomi,,伯父,さんが会いに来た。,おじ
pre_two,yomi,,謹慎,処分を受けた。,きんしん
pre_two,yomi,のどが,炎症,を起こしている。,えんしょう
pre_two,yomi,,猿芝居,はやめなさい。,さるしばい
pre_two,yomi,,生涯,で一度しか経験できない。,しょうがい
pre_two,yomi,のどが,渇いた,。,かわいた
pre_two,yomi,その植物には,地下茎,がある。,ちかけい
pre_two,yomi,退職して,私塾,を経営する。,しじゅく
pre_two,yomi,飲み過ぎて,泥酔,する。,でいすい
pre_two,yomi,長年,培われ,てきた伝統の技だ。,つちかわれ
pre_two,yomi,街中で友達を,鉢合わせる,。,はちあわせる
pre_two,yomi,,気泡,を除去する。,きほう
pre_two,yomi,,奇矯,な振る舞いだった。,ききょう
